indicator,severity,description,source_feed,reference,type
dn720707.ca.archive.org,HIGH,"URLhaus: malware_download (jpg-base64-loader,stego)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3553442/,domain
ia600303.us.archive.org,HIGH,"URLhaus: malware_download (jpg-base64-loader,stego)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3553441/,domain
skynetx.com.br,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3553439/,domain
ia601304.us.archive.org,HIGH,"URLhaus: malware_download (jpg-base64-loader,stego)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3553437/,domain
ia800100.us.archive.org,HIGH,"URLhaus: malware_download (jpg-base64-loader,stego)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3553435/,domain
ia800303.us.archive.org,HIGH,"URLhaus: malware_download (jpg-base64-loader,stego)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3553436/,domain
ia600100.us.archive.org,HIGH,"URLhaus: malware_download (jpg-base64-loader,stego)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3553434/,domain
pom.ie,HIGH,"URLhaus: malware_download (ascii,Encoded,GuLoader)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3553399/,domain
stattcheck-intuiit.com,HIGH,"URLhaus: malware_download (c2-monitor-auto,dropped-by-amadey)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3553182/,domain
ia800101.us.archive.org,HIGH,"URLhaus: malware_download (jpg-base64-loader,RedLineStealer)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3552976/,domain
kristalzemin.com,HIGH,"URLhaus: malware_download (encrypted,GuLoader,rat,RemcosRAT)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3552967/,domain
theipgenerators.com,HIGH,"URLhaus: malware_download (rat,RemcosRAT,rev-base64-loader)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3552966/,domain
kristalzemin.com,HIGH,"URLhaus: malware_download (ascii,Encoded,GuLoader,rat,RemcosRAT)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3552965/,domain
nvtai.id.vn,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3552048/,domain
raw.githubusercontent.com,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3552045/,domain
raw.githubusercontent.com,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3552040/,domain
raw.githubusercontent.com,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3552042/,domain
raw.githubusercontent.com,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3552043/,domain
github.com,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3552009/,domain
github.com,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3552005/,domain
solsniper.eu,HIGH,"URLhaus: malware_download (c2-monitor-auto,CoinMiner,dropped-by-amadey,rustystealer)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3551926/,domain
corklightlngtrade.com,HIGH,"URLhaus: malware_download (MetaStealer,msi,opendir)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3551752/,domain
p767122-mobac01.tokyo.ocn.ne.jp,HIGH,"URLhaus: malware_download (elf,sshdkit)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3551318/,domain
p538240-mobac01.tokyo.ocn.ne.jp,HIGH,"URLhaus: malware_download (elf,sshdkit)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3551317/,domain
p538087-mobac01.tokyo.ocn.ne.jp,HIGH,"URLhaus: malware_download (elf,sshdkit)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3551315/,domain
14-0-204-188.static.pccw-hkt.com,HIGH,"URLhaus: malware_download (elf,sshdkit)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3551316/,domain
157-157-22-65.dsl.dynamic.simnet.is,HIGH,"URLhaus: malware_download (elf,sshdkit)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3551314/,domain
81-19-23-183.netw.fr,HIGH,"URLhaus: malware_download (elf,sshdkit)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3551312/,domain
p1618213-mobac01.tokyo.ocn.ne.jp,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3551264/,domain
butbot.sytes.net,HIGH,"URLhaus: malware_download (botnetdomain,censys,elf,mirai,moobot,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550953/,domain
butbot.sytes.net,HIGH,"URLhaus: malware_download (botnetdomain,censys,elf,mirai,moobot,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550903/,domain
butbot.sytes.net,HIGH,"URLhaus: malware_download (botnetdomain,censys,elf,mirai,moobot,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550904/,domain
butbot.sytes.net,HIGH,"URLhaus: malware_download (botnetdomain,censys,elf,mirai,moobot,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550902/,domain
butbot.sytes.net,HIGH,"URLhaus: malware_download (botnetdomain,censys,elf,mirai,moobot,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550901/,domain
butbot.sytes.net,HIGH,"URLhaus: malware_download (botnetdomain,censys,elf,mirai,moobot,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550891/,domain
butbot.sytes.net,HIGH,"URLhaus: malware_download (botnetdomain,censys,elf,mirai,moobot,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550886/,domain
butbot.sytes.net,HIGH,"URLhaus: malware_download (botnetdomain,censys,elf,mirai,moobot,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550887/,domain
butbot.sytes.net,HIGH,"URLhaus: malware_download (botnetdomain,censys,elf,mirai,moobot,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550888/,domain
butbot.sytes.net,HIGH,"URLhaus: malware_download (botnetdomain,censys,elf,mirai,moobot,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550889/,domain
butbot.sytes.net,HIGH,"URLhaus: malware_download (botnetdomain,censys,elf,mirai,moobot,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550890/,domain
