indicator,severity,description,source_feed,reference,type
121.127.34.150,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556254/,ip
121.127.34.150,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556255/,ip
45.38.4.50,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556256/,ip
195.82.147.93,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556246/,ip
107.175.243.148,HIGH,"URLhaus: malware_download (AgentTesla,rev-base64-loader)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556244/,ip
185.254.97.125,HIGH,"URLhaus: malware_download (exe,QuasarRAT)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556243/,ip
185.156.72.2,HIGH,URLhaus: malware_download (exe),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556242/,ip
185.156.72.2,HIGH,URLhaus: malware_download (exe),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556241/,ip
77.83.207.69,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556237/,ip
34.41.187.91,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556225/,ip
34.41.187.91,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556221/,ip
209.141.34.106,HIGH,URLhaus: malware_download (mirai),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556216/,ip
209.141.34.106,HIGH,"URLhaus: malware_download (elf,mirai,opendir,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556215/,ip
209.141.34.106,HIGH,"URLhaus: malware_download (elf,mirai,opendir,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556214/,ip
141.98.11.175,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556206/,ip
141.98.11.175,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556191/,ip
141.98.11.175,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556192/,ip
141.98.11.175,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556193/,ip
141.98.11.175,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556196/,ip
141.98.11.175,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556197/,ip
141.98.11.175,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556198/,ip
