indicator,severity,description,source_feed,reference
raw.githubusercontent.com,HIGH,Domain hosting: URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3108503/
file.blackint3.com,HIGH,Domain hosting: URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3108502/
file.blackint3.com,HIGH,"Domain hosting: URLhaus: malware_download (Virus.tracx,webtoolbar)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3108492/
file.blackint3.com,HIGH,"Domain hosting: URLhaus: malware_download (Virus.tracx,webtoolbar)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3108491/
web.archive.org,HIGH,"Domain hosting: URLhaus: malware_download (154.216.19.139,elf)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3106560/
web.archive.org,HIGH,"Domain hosting: URLhaus: malware_download (154.216.19.139,elf)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3106559/
web.archive.org,HIGH,"Domain hosting: URLhaus: malware_download (154.216.19.139,elf)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3106558/
web.archive.org,HIGH,"Domain hosting: URLhaus: malware_download (154.216.19.139,elf)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3106556/
web.archive.org,HIGH,"Domain hosting: URLhaus: malware_download (154.216.19.139,elf)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3106557/
web.archive.org,HIGH,"Domain hosting: URLhaus: malware_download (154.216.19.139,elf)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3106551/
web.archive.org,HIGH,"Domain hosting: URLhaus: malware_download (154.216.19.139,elf)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3106552/
web.archive.org,HIGH,"Domain hosting: URLhaus: malware_download (154.216.19.139,elf)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3106553/
web.archive.org,HIGH,"Domain hosting: URLhaus: malware_download (154.216.19.139,elf)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3106554/
web.archive.org,HIGH,"Domain hosting: URLhaus: malware_download (154.216.19.139,elf)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3106555/
raw.githubusercontent.com,HIGH,Domain hosting: URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3105147/
raw.githubusercontent.com,HIGH,Domain hosting: URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3105148/
raw.githubusercontent.com,HIGH,Domain hosting: URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3105149/
raw.githubusercontent.com,HIGH,Domain hosting: URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3105150/
raw.githubusercontent.com,HIGH,Domain hosting: URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3105145/
raw.githubusercontent.com,HIGH,Domain hosting: URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3105146/
raw.githubusercontent.com,HIGH,Domain hosting: URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3105144/
github.com,HIGH,Domain hosting: URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3101202/
github.com,HIGH,Domain hosting: URLhaus: malware_download (NetSupport),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3101203/
github.com,HIGH,Domain hosting: URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3101191/
github.com,HIGH,Domain hosting: URLhaus: malware_download (mal-g2m-dll-sideloading),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3101087/
raw.githubusercontent.com,HIGH,Domain hosting: URLhaus: malware_download (crypter),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3100042/
web.archive.org,HIGH,Domain hosting: URLhaus: malware_download (elf),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3099961/
web.archive.org,HIGH,Domain hosting: URLhaus: malware_download (elf),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3099962/
web.archive.org,HIGH,Domain hosting: URLhaus: malware_download (elf),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3099963/
web.archive.org,HIGH,Domain hosting: URLhaus: malware_download (elf),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3099965/
web.archive.org,HIGH,Domain hosting: URLhaus: malware_download (elf),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3099966/
web.archive.org,HIGH,Domain hosting: URLhaus: malware_download (elf),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3099960/
web.archive.org,HIGH,"Domain hosting: URLhaus: malware_download (154.216.19.139,elf)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3097244/
